"","x"
"365","It was this food that Glen Bell, World War II Marine Corps veteran and owner of Bell's Drive-in hot-dog stand, ate and loved and riffed on until, in San Bernardino, Redlands and Riverside, he established three stands featuring Mexican food, Taco Tia, a concept that he eventually transformed into the mega-chain all America knows for its ""Run for the Border"" ad slogan and ""Yo quiero Taco Bell"" Chihuahua dog, not to mention those famed crackly tacos."
"366","Just before someone shouted ""Three . . . two . . . one . . . Polo!"", Cromer relayed one last rule -- my feet are not allowed to touch the ground."
"367","Through the first six months of this budget year, government revenue has totaled $1.06 trillion, up 4.4 percent from the same period a year ago. Individual and corporate tax receipts are both up, reflecting the improving economy."
"368","Notes: Aldridge (15 points) and Wallace (15 points, 12 rebounds) were the Blazers' leading scorers. ... Reserve forward Luke Babbitt added 12 points in 17 minutes. ... Raymond Felton had another awful game, finishing with nine points, five turnovers and three assists, while making 2 of 10 shots. During the forgettable first quarter, Felton was 0 for 3 from the field, and had three turnovers and zero assists. ... The Blazers' worst losses in franchise history are: 65 points (Feb. 27, 1998 at Indiana), 56 points (Feb. 20, 1976 at Chicago), 52 points (Nov. 24, 1970 at Baltimore) and 45 points (Dec. 6, 2006 at Phoenix)."
"369","While squash is baking, rinse the figs. If they seem too dry, let them sit in a little warm water for a few minutes, then drain and dice. If you're using cardamom pods, crack them and extract the seeds. Grind seeds finely in a mortar and pestle; set aside."
"370","Still pending in Los Angeles is a suit by Warner Bros., which claims Roberts Broadcasting owes $1.4 million from licensing agreements to air programs."
"371","Later that day in Elkridge, two people, one of whom the victim knew, were reported to have forced their way inside a home on the 8000 block of Paul Martin Drive and stolen a large toolbox and a hunting bow. The incident was reported at 7:30 p.m."
"372","The napkin-wringing about the economy is far from done."
"373","Common Question: ""Where do I go to hear great live music?"" Well, look no further! Starting today, I'll be posting a new list for the coming week of shows that I think are worth your time, money and eardrums! Check this blog frequently to get a few clues on what's happenin' in the Portland music industry:"
"374","Anti-doping authorities have indicated that Landis has cooperated extensively since his admission, helping unlock secrets on how cyclists and other endurance athletes were beating drug tests."
"375","The victim’s mother, Isilma Samuel, said her son was supposed to graduate from Carteret High School the day after the shooting. She said the family moved from Orange to keep her two sons safe."
"376","Among the first eight relievers to reach eight saves, only the Phillies' Jonathan Papelbon has been an All-Star more than once. Others on the list include relievers who've been either very consistent (Jim Johnson of the Orioles, 0.00 ERA) or very inconsistent (Javy Guerra of the Dodgers, 5.56)."
"377","""I don't think there are very many opportunities out there,"" she says."
"378","Huaneng Renewables plans to sell 2.49 billion shares, although the deal includes an option that would increase the offering size by 15%, according to the term sheet."
"379","Since the memorial service, Cathy has tried to do just that. She struggles with her grief. Kelly's ashes live in her home until the family decides where to spread them. Until then, Cathy has found a pair of weekly rituals that have helped give her purpose. On Saturdays, Cathy protests with local citizens at the Fullerton police station."
"380","His sentence includes five years suspended and five on probation."
"381","The Army is already doing its part to catch the problem earlier, working with high schoolers and interested recruits to lose weight before they are eligible for service, says U.S. Army Recruiting Command's Mark Howell. He added that he had to lose 10 pounds himself before he joined the military."
"382","The proposal also has the blessing of the U.S. Environmental Protection Agency because it would produce something of value from a dangerous waste gas."
"383","TripAdvisor lead the S&P 500 gainers after the travel site reported first-quarter earnings and revenue topped analyst projections."
"384","Next to Cedar Point, the Soak City waterpark will have a new look for 2012. It will add a mat-racer complex that gives racers a speedy ride through a series of dips and plateaus. More information on that will be available later this year, the company said."
"385","The good news, at least for Kentucky fans, is that Calipari suggested to ESPN's Andy Katz afterward that there's still more he'd like to accomplish at the college level."
"386","The Democrats who made political hay of Issa's choice of witnesses were right; surely it says something troubling that the committee didn't bother to find a single woman to testify on its first panel. (There were two on the second.) But it is at least as troubling that there was no one at all — male or female, on either panel — called to testify in support of the Obama administration's proposed mandate."
"387","What picture, you say? A mentor of mine once provided this valuable learning experience about sports business. He asked: ""Have you ever walked into someone's home or office and they show off their prized photo — you know, the one of the guy standing on the dock proudly holding the big fish at the end of the hook?"" ""Sure,"" I said."
"388","They complain about the property tax."
"389","A team can't turn over half its roster in one year and not expect to commit turnovers early in the season. A team that won a total of nine games over the past two seasons can't build without bobbles."
"390","That can save 50, 60, 70 percent of the energy used by a computer. And that can amount to $20, $50, $100 a year depending on your cost of energy."
"391","A quick-moving storm last night is meteorological history, making way for 7 days of sunny weather."
"392","The owners of 807,000 homes in the state are getting a break on their property taxes thanks to the homestead credit, which acts as a limit on annual increases. About 150,000 owners haven't sent in their applications, according to the assessments agency."
"393","""Business Plan for Small Business"" will be presented on Wednesday, May 9 at 7 p.m. at the Bound Brook Memorial Library located at 402 E High St. in Bound Brook."
"394","Liberty Academy Charter School Board of Trustees, June 27, Cafeteria, 211 Sherman Ave., Jersey City, 6 p.m."
"395","Despite the unexpected increase in income tax revenues in fiscal year 2011, which happened across the state, Wacks said income tax revenues are only projected to experience small growth over the next few years."
"396","In Ellisville, political newcomer Adam Paul, 32, won a four-way battle to become mayor, a win that also may have implications for a proposed big-box development. Paul beat City Council members Michelle ""Shelly"" Murray and Dawn Anglin."
"397","Summit Christian 10, Midland 0"
"398","øI'm all for creating a one-stop website to make it easier for companies to access all the resources available from the federal government. But that doesn't require restructuring a bunch of agencies. In fact, Obama announced that he's soon launching a site called Business USA."
"399","A Sacramento native, Henry Cline Smith was born Nov. 27, 1943, to Ramona and Chester Smith. His father was a reserve deputy sheriff, and his mother was a federal civil servant."
"400","Earlier, firefighters were on the roof of the Tuesday Morning store as it began to collapse but quickly climbed down. No injuries were reported."
"401","Walking and biking are two forms of exercise that allow you to improve your health with a low risk of injury, and in Oregon you may participate in the Tour de Cure cycling event and/or the Step out to Stop Diabetes walk, taking place in mid-summer and early fall."
"402","The Bill and Melinda Gates Foundation is another billionaire-backed group investing money in education. Last year, the foundation gave $290 million to three urban school districts and a group of charter schools in support of their efforts to redefine teacher recruitment and development."
"403","One is to encourage your child to graduate a semester or two early. Taking as many Advanced Placement courses as possible in high school, and perhaps a community college class or two in the summer, could give a student a full year's worth of college credit."
"404","øJockey: Garrett Gomez."
"405","Corky Carroll is a three-time international and five-time U.S. surfing champion. He can be reached at corkysurf@aol.com"
"406","""It would be a disaster if we lose (the hub),"" said George Blaha of Rocky River, who works in the insurance industry and flies about four or five times a month for business."
"407","Kids dinosaur events ""Dinosaur Detectives,"" a fun-filled day of exploration of Morrison's paleontology, with a series of hands-on activities, for kids in grades 3-6, will be from 9 a.m. to 1 p.m. at Dinosaur Ridge. Cost is $10 for Friends of Dinosaur Ridge members, $15 for non-members. Register with Erin Fair at tours@dinoridge.org."
"408","In addition, volunteers help families move in and out, mow the lawn and handle basic cleaning and maintenance, he said. A local plumbing company recently donated a water heater, and other businesses are providing similar support as needed."
"409","-- Buy local ingredients as often as possible, which means less fuel has been used to transport food items. Also, eat responsibly: Buy organic and hormone-free meat, poultry and wild fish when possible."
"410","""I'm stuck in the 1920s living in this house,"" says Camuso, who is semiretired from his antique and collector car parts business. (The house was built with a detached three-car garage, including a repair ""pit"" in one of the bays. ""Sold!"")"
"411","Powell responded: ""Everything they said is patently false. I am a good father to my sons."""
"412","Friday night and into the evening Saturday. But leaders are calling for at least another week of heightened law enforcement there."
"413","The building, 104 years old and at least seven stories tall, was once discussed as a grand restoration - downtown lofts, storefronts or office space."
"414","""I worked every day — every day — since I came here, until I hurt my shoulder,"" Akvany said. ""Then, they fired me."""
"415","The rate of lost or damaged luggage was up slightly from a year earlier but down from July. Complaints jumped. They rose 18 percent from a year earlier and 10 percent from July."
"416","But we have more work to do. The steps we’ve taken over the last two years may have broken the back of this recession – but to win the future, we’ll need to take on challenges that have been decades in the making."
"417","WASHINGTON, D.C. - Health care reform legislation adopted by Congress is making CEOs and younger workers alike ponder whether it will be cheaper for them to pay fines to the federal government than to pay for insurance, says Cleveland Clinic President and CEO Delos ""Toby"" Cosgrove."
"418","Views of gay marriage also tend to be ""generational,"" Obama said, telling Robin Roberts of ABC that most young people he has met -- even very conservative Republicans in college -- tend to be more accepting of same-sex couples."
"419","Michael was in a terrible car accident. You talk about miracles and prayers. Michael had some brain damage. But he caddies for me. The members love him."
"420","We believe the state needs to develop a strategy for adequately funding mental health services for people incarcerated in jail, whether directly to the sheriffs' departments, directly to the Community Mental Health organizations, or through resolving the insurance benefit issues. Given that prisoners with other diseases are not denied treatment, we join in questioning why those with mental illness don't receive the treatment they need, especially since withholding treatment exacerbates the very behavior for which they may have been incarcerated."
"421","InkStop's leadership projected they would become profitable in the fourth quarter of 2008, but then the stock market tanked and everything went haywire."
"422","Tradition is something this winery knows a lot about. The Chateau Lamothe estate has been in existence since the 16th century, and the winery still uses the cavernous underground rooms that were excavated in the 17th and 18th centuries. The caves, ranging up to almost 200 feet deep, are ideal for storing and aging wine."
"423","Bork, who got his culinary start as a teenager, washing dishes at Frick's Bar and Grill in Ballwin, says he's planning a tightly edited menu of about a dozen small-plate items from $6-$15, plus a handful each of entree and dessert options."
"424","Chris Relf, sr., Mississippi State"
"425","Kathleen Foody of the Post-Dispatch staff contributed to this report."
"426","""The countries in the Gulf region apparently do not want to restrict production and this should mean a marked oversupply on the oil market in the coming weeks, which should push prices down further,"" said a commodity report from Commerzbank in Frankfurt."
"427","Buzz: A couple of 10-year-olds (Rowan Blanchard and Mason Cook) are needed to save their mom, the world or both."
"428","Said Horton: ""If you map it out this might be something you look back on and say, 'Gee, if we would have just gotten two out of three instead of the alternative we could be Pac-12 champions."""
"429","They say that the aircraft caught fire as it fell to the ground and that police and air force personnel were aboard."
"430","In 2008, the parks department collaborated on a report with the Trust for Public Land that tried to quantify that value. It estimated the direct revenue (from higher property values of homes near parks, sales tax from out-of-town park visitors) at more than $3 million. It put the ""wealth-increasing factors"" to residents in property value and tourism at $16 million. And it put the cost savings for residents (not having to pay to use parks and lower medical bills from better health) at $371 million."
"431","1444 RAMONA LN $64,900"
"432","Thirty bands will be featured over three stages at the outdoor event throughout Laclede's Landing."
"433","After eight years on the council, Boyce was appointed by Gov. Ted Strickland, a fellow Democrat, to be Ohio treasurer when Richard Cordray left the office to become attorney general."
"434","The ancient rabbis teach, ""Even if we were all wise beyond our years and educated in the ways of Torah, we would still need to tell this story, for the telling is praise."" It is not only the story found in Exodus that we tell at the seder, but also family stories and rituals that are passed down from generation to generation."
"435","If you prefer to use mail, send info requests to Emerald Isle Club, P.O. Box 20068, Towson, MD 21284."
"436","Tigard resident Terri Rise has seen firsthand the other health issues that can occur in dogs raised at a puppy mill. The mother of her Chihuahua, Tucker, was pregnant with him when she was rescued from a raid in Gaston in 2008."
"437","√ Jane Jannarone 1,160"
"438","Our good times pigging out during the holidays have turned into the worst of times. That's right, the noise we think is applause is actually our thighs slapping against each other. And forget blaming it on those trendy corduroy pants."
"439","The elevation of the avalanche wasn't immediately clear."
"440","“We have just lost a Hollywood giant,” said Elton John, a longtime friend of Taylor’s. “More importantly, we have lost an incredible human being.”"
"441","The troubles are expected to weigh on the bank's broader earnings. For example, the corporate group, which includes the Chief Investment Office, is now expected to lose $800 million in the second quarter, the company said."
"442","Political leaders in Warsaw say they want to join the euro zone eventually. And they have cited stricter fiscal rules as something that could make joining more attractive, by lessening the risk of future debt crises. Yet ceding power to outsiders could be a hard sell for nations such as Poland that regained real sovereignty only 20 years ago, after decades as Soviet satellites."
"443","Just 25 feet upstream from the drop, the victims had climbed over a metal guardrail, ignoring warning signs and apparently pleas from other hikers to get out of the water. Their bodies have not been found in the foaming, boulder-strewn torrent that is the Merced River. They are presumed dead."
"444","The killings were the third in each city since Sunday."
"445","Pine Creek 52, Falcon 9"
"446","Bone marrow, halved and smeared with shrimp sambal and cooked over the wood fire is brilliant: The fiery paste cuts through the fat, giving it definition and contrast."
"447","""It’s very frustrating,"" Scutari said of Stack’s decision, noting Stack had voted for the legislation that legalized medical marijuana earlier this year. Scutari said he suspects Stack, the mayor of cash-strapped Union City, did not want to cross the governor."
"448","""Oh man, it was definitely crazy ... stressful,"" Jones said. ""I went up and down with emotions. Initially, I was high on a lot of people's boards. That didn't work out for whatever reason. Regardless of what theories I have, it doesn't matter."
"449","""To get rid of the benefits and perks that come along with the position is good,"" Levinson said. ""But it's different from getting rid of the corruption that happened."""
"450","""Deniers claim the Holocaust never happened,"" Fitzpatrick says. ""Isn't a man who claims he is a survivor – but isn't – just as evil?"""
"451","Foster, 56, a physicist and wealthy businessman, is seeking election in a newly drawn district that includes many communities - including Aurora - that were part of the old 14th District, where he twice was elected to Congress. He was defeated for re-election two years ago by Republican Randy Hultgren. A poll taken back in June, before the current primary race even began, showed that 41 percent of the new district's voters knew who he was, and he was well-liked."
"452","That's why, for the second year, the Blue Springs dentist is participating in Dentistry from the Heart. He, along with six other community dentists, a slew of dental hygienists and a handful of volunteers will offer free dental work to anyone who needs it during an all-day event Saturday."
"453","Defense attorney J. Michael Flanagan told the judge his efforts to get the substances tested has been delayed because an expert in the Los Angeles County coroner's office had been on a lengthy vacation. He argued the tests should have been done after Jackson's death."
"454","applying for a marriage license, renting an apartment or making any large purchase;"
"455","matchups."
"456","Despite a number of predictions that 2012 may see record numbers of foreclosures after the worst foreclosure crisis since the Great Depression, politicians and other interests have their eyes on Michigan's $97-million share of the recent National Mortgage Servicer Settlement."
"457","Any exploration of Monterey County's Spanish roots has to begin at San Carlos Borromeo de Carmelo Mission, more widely known as the Carmel Mission. Founded in 1771 by Father Junipero Serra, the historic complex includes the Basilica Church, with its intriguingly ornate interior and indigenous and Catholic imagery; several outbuildings used as museums, including the spartan room where Father Serra lived until his death in 1784; a sprawling courtyard with arched walkways reminiscent of southern Spain; and tranquil gardens that are also home to the graves of Spaniards and Native Americans, poignantly decorated with simple wooden crosses and abalone shells."
"458","The Broncos went on to win their next five games in untraditional fashion."
"459","""Surviving Progress"" offers no glib answers to such conflicting interests, but to fault the movie for that is like blaming a brilliantly constructed fire alarm for not being a hose."
"460","Police said they were called to the home by a 59-year-old Taylor woman who had come to the house to purchase a snow leopard cat from the resident, afer previously giving the resident two of her own snow leopard cats to breed, according to the police report."
"461","Slim the hips"
"462","Outstanding Performance by a Male Actor in a Drama Series"
"463","According to Pew Research's findings, more women age 18 to 34 value a high-paying career han young men, 66 to 59 percent. This number for women is up 10 percent from 1997, and up 1 percent for young men. For women ages 35 to 64, 42 percent say being successful in a high-paying career is ""one of the most important things"" or ""very important,"" compared to 43 percent of their male counterparts. In 1997, only 26 percent of middle-age and older women felt this way, compared to 41 percent of men."
"464","""The likelihood of him playing isn't very high,"" Matheny said. ""Where we go from there, it's too early. We've got to talk to all the medical staff."""
"465","Although reports out of Charlotte said Wallace didn't enjoy playing power forward, he said Friday he'll leave the decision in McMillan's hands."
"466","At a press conference tonight, NTSB senior air safety investigator Robert Gretz said the recovery of the wreckage has been going slower than anticipated due to the traffic on Interstate 287, and the day's efforts were suspended around 6 p.m. because of darkness."
"467","When it came down to his Decision, Peyton Manning ""wanted someone to tell me what to do."""
"468","That's more than 8 hours faster than the Starlight travels today from San Jose to L.A., folks."
"469","NEW DELHI – Aston Martin expects to garner about a fifth of its 2012 sales from emerging markets such as China, India and the Middle East, a senior executive at the U.K. luxury sports car maker said Friday."
"470","""Ninety-five percent of international relations is symbolic, and state visits are important,"" said Peter Hakim, president emeritus of the Inter American Dialogue think tank, at a March 12 conference on Brazil-U.S. Relations at the Woodrow Wilson International Center in Washington. ""The fact is that Brazil wanted this to be a state visit, and that they felt a bit insulted."""
"471","""I've made the right decision,"" the two-time reigning MVP said."
"472","The flavor of the day is Hippie Chow, a spice cake with brown sugar cream cheese frosting finished with a sprinkling of locally made organic granola, but Wilson is also running a special on her best-selling Red Velvet."
"473","Colonial Bank"
"474","You know, they're some of my best friends in the world. I really trust those guys. So I can easily see it turning into ... whatever. I don't see it as a limiting thing, I see it as becoming whatever it is that the three of us are into. And so long as the three of us have our mindsets in a similar place, we'll be doing it forever."
"475","How life has changed: “My recent success has come from me thinking of all of the people in the world who can’t even run or workout and here I am complaining about it… I always tell myself I run for those who can’t, and I always dedicate all of my runs to my Grandpa who passed from Alzheimer’s in April 2010,” she says. “I also now know that I can do absolutely anything that I put my mind to, no matter how hard it is.”"
"476","“I still have classes to take in college, and possibly grad school,” he said. “I don’t want to close any doors before I know they exist, so I’m just keeping my opportunities open and am going to see what happens.”"
"477","But we don't make so much anymore, and most of those factories are gone now. The big corporate headquarters have fallen away, too. Being ""middle-American"" - both socially and geographically - means less in a fast-changing global economy. More important is ideas. And innovation."
"478","ODOT is reporting this morning that the highway along the Oregon coast is slumping several inches near milepost 133."
"479","Opening Day has spawned many odes to spring, rebirth, and the green, green grass near home plate. But, really, it often didn't seem much like spring. It seemed like the Iditarod. Not that it wasn't memorable when Ernie Harwell recite the words to the ""Song of the Turtle (Dove)."" But a lot of times, the turtle would have rather hunker down inside his shell and the dove would rather stay inside his shelter."
"480","Speaking of the Prime Rib, right now is a good time to drop in. From Sunday, March 25 to May 5, the restaurant is offering 15 ounces of prime rib for $15.95. The offer is good on Sundays through Thursdays."
"481","And so LeBron James' third game in Cleveland as a member of the Miami Heat, a game in which he just might have been trying to show Cavaliers fans what he could do if he returned to this franchise, had a range of receptions."
"482","Brennan, 58, has been under fire from some investors for not"
"483","An interesting aspect to the day was some of the scores on the back nine. Six golfers carded at least 10 more strokes on the back nine than they did on the front, and in one instance a player had 20 more strokes on the back nine."
"484","Luis Mateo was 2-for-4 with an RBI. ... Outfielder Tyler Henley was 1-for-4. ... Catcher Bryan Anderson went 1-for-3 with a run and a walk BB. ... Shortstop Pete Kozma singled, walked and scored. ... First baseman Mark Hamilton had a single and two RBIs."
"485","Fears of a global financial freeze-up caused by the European debt crisis have receded, but many now worry that Europe’s recession will hurt sales by American exporters such as GM and Caterpillar. Caterpillar lost 1.9 percent."
"486","This goes for Michael Grandage's production as a whole: While slickly accomplished, this ""King Lear"" isn't transformative."
"487","Champagne gives me heartburn, and I don't care for wine, so I opted for a beer. The hostess became upset that I was ruining the ambience of the room, but a few guests came to my rescue, and she relented as long as I drank the offending brew in a glass. However, when it came time to eat, she said, ""There's no way you're bringing beer to my dinner table."" I drank water with my food."
"488","Mother's Day Tea Party: 6:30-8 p.m. May 11. Dress in your finest dress, tea hat and pearls and celebrate Mother's Day at High Tea with a 1920s-inspired fashion show. The formal sit-down tea service includes pastries, tea sandwiches, cakes and cookies. Proceeds benefit the church's building fund. Reserve your seat by sending an e-mail to kbonowil@cox.net or therndon@stonepointcc.org. Stonepoint Community Church, 8110 W. Peoria Ave., Suite 101, Peoria. $10, $5 for kids. 623-337-8663. stonepointcc.org."
"489","DeMarco is The Plain Dealer's Friday magazine editor."
"490","Three experienced caregivers are invited on the program to share their perspectives and strategies that have helped them overcome a particular challenge. Host Margery Pabst presents a new challenge each month ranging from coping with guilt to more controversial issues such as dating when a spouse is lost to Alzheimer's. The audience listens in either on the Caregivers Speak! channel on BlogTalkRadio or by calling in on (347) 857-3399."
"491","The suspension stems from a trio of e-mails Tressel said he received last April and June that detailed the sale of memorabilia to Edward Rife, a Columbus tattoo shop owner whose home was raided in a drug investigation."
"492","Vanecko, 75, and McCarthy, 55, are the sons of doctors who worked together for decades at Little Company of Mary Hospital in Evergreen Park. Vanecko graduated from Georgetown University in 1957 and from Northwestern University Medical School in 1961. He was a resident surgeon at Cook County Hospital when he married then-Mayor Richard J. Daley's daughter, Mary Carol, in 1964."
"493","Source: Ohio Historical Society"
"494","The former Georgia Tech receiver stood out in his first practice with the Jets because of his imposing 6-foot-4 frame and effort in every drill. Coach Rex Ryan noticed Hill's speed."
"495","As for the shooting, which happened one month before the Hutaree members were arrested, Murray said it happened during a heated argument in the couples' home, and disputed ever shooting at his wife."
"496","O'Keeffe, Red and Thompson were also awarded Top 10 honors in the projects category for their ongoing coverage of the sex abuse of athletes, including:"
"497","Shannon also echoed Vanaman and Messeck’s sentiments on a street patrol."
"498","So what's the best happy hour in your neighborhood?"
"499","Here's how we'll follow through on mistakes. This includes published corrections made in the database AND major factual errors corrected in the editing process (which aren't entered in the database.)"
"500","Chivas USA at Colorado, 6 p.m."
"501","16212 Lake Forest Blvd; 1,267 square feet; on 3/29/2012 for $210,000"
"502","But Eye said the lost chance to avenge her defeat doesn’t matter to her."
"503","Not that White has much choice but to adapt. Continuing enrollment losses -- fueled by private school vouchers, charter schools and the imminent state takeover of some IPS schools -- mean his district is poised to soon be at the center of one of the nation's most competitive education marketplaces."
"504","Cleveland United 2, Oak Ridges Knights 0"
"505","Centrum officials could not be reached for comment Wednesday."
"506","øThe survey, which covers hiring only in the private sector, has been known to deviate sharply from the government's figures, which wil, be released Friday. For example, the government said employers added just 120,000 jobs in March - much lower than ADP's estimate."
"507","Although the urban hustle and bustle remain, an increasingly tense and eerie feeling permeates the air. Portraits and photos of Assad have become more visible, as have billboards with Syrian flags urging unity and warning against division and fitna, or sedition. A series of car bombings in Damascus, the most recent on March 17, has accentuated the sense of insecurity."
"508","The case, Chaidez v. United States, is the situation of a legal immigrant who faces deportation because she was involved in an insurance fraud scheme. She arrived in the U.S. in the 1970s from Mexico and became a legal resident in 1977. In 2003 she was charged with mail fraud after being involved in an insurance fraud scheme. The case is based on her claim that her lawyer failed to advise her about the risk of deportation if she pled guilty. The court will consider the case in the term beginning Oct. 1."
"509","""I think going to the movies will be the No. 1 priority next weekend but clearly was not the No. 1 priority this weekend,"" said Paul Dergarabedian, analyst for box-office tracker Hollywood.com. ""There's so much anticipation for 'The Avengers' that the newcomers kind of got lost in the shuffle."""
"510","But there's a downside to what the center dubs the Science Adventure Travel program: It's a perennial money loser for a tax-supported museum that has committed to slashing $2 million in annual spending over the next two years."
"511","The Grimaldis show, ""Five Maryland Icons,"" provides a richly varied experience — and, for those in the market, a fairly expensive one, with most of the pieces priced from $3,500 to $125,000."
"512","General Motors engineers are studying two post-crash-test fires in the Chevrolet Volt's battery to learn more fundamentals about electric vehicles, GM product chief Mary Barra said Friday."
"513","""At a certain point, I think even Occupy Wall Street, with its admirable ambitions and goals, may want to consider whether its occupation begins to exclude others,"" Kayden said. ""Is it a public use? Absolutely. Does it mean it can be there forever? Far less clear."""
"514","Kiel, the highest-rated of the four players out of high school, has been on campus for less than four months as an early enrollee."
"515","Piecemakers. A 26-member group of Bible-spewing, denim-wearing quilters who have chosen as their Earthly deity an octogenarian who makes one hell of a custard tart but doesn't know Aquinas from Aqua Net. Quite clearly from another planet, you wonder why the City of Costa Mesa doesn't call I.C.E. on them."
"516","With only a few additions and subtractions, the Lions' defense remains largely intact. And that's a good thing, especially for the linebacker unit as it prepares to enter its first full off-season together."
"517","""I don’t feel like it’s our country’s right to deny rights to people who want to commit themselves in loving, committed relationships,"" Summer said. ""If the church doesn’t want to honor that, that’s cool, that’s their right. But I don’t feel like it’s our business."""
"518","The nutrition bill (S2905) requires franchises with more than 20 locations nationally to calculate the number of calories for all items they sell and post the information on all drive-through and indoor menu boards. The law takes effect in a year and will be enforced through fines. Restaurant associations and owners of chains, argued it would be too costly."
"519","Timbers fans, what are your predictions for Saturday's match? Do you see the Timbers coming out with an aggressive game plan? Will Real Salt Lake be able to handle the team's pressure, the weather and the Timbers Army?"
"520","""We'll be very competitive again,"" Davis said. ""It'll be very tough to replace the players that we lost."""
"521","Many artworks were displayed at a nexus of galleries in the city's downtown, two of them owned by Omar Alonso Vazquez, who moved here from Guadalajara several years ago. A critical mass of artists, galleries and collectors has been building in the area for some time, Alonso said. All that has been needed is a festival to ""lift art in Puerto Vallarta to an international level."""
"522","Skyline at Mountain View, Ray Patterson Field, 7 p.m."
"523","Perez was booed off the mound after a three-batter, 12-pitch effort in the ninth inning Monday. He said he would have booed himself. The Indians eventually lost, 4-2, in 10 to slip to 2-5."
"524","Davis, 31, who is averaging 12.8 points and seven assists per game, is making $13 million this season and has two years left on his contract, earning nearly $14 million next season and $14.8 million in the final year. The Cavs can use part of the $14.5 million exception they got from Miami in the LeBron James deal to make up the difference."
"525","Ralls will serve as executive secretary for the 2010-11 school year. Officers were determined by a written test, screening and nominating committee interviews, and ballots cast by voting delegates after delivering their campaign speech during the election session."
"526","From LAX, United, Delta, Hawaiian and Continental offer connecting service (change of plane) to Hilo. Delta, American and United offer nonstop service to Kona, and United and Hawaiian offer connecting service. Restricted round-trip fares begin at $658.40."
"527","""We’re going down a slippery slope,"" she said. ""What will come next? … Subsequent stays?"""
"528","The Japan meteorological agency has issued a tsunami warning for a wave of up to one meter for the northeastern coastal area already ravaged by last month's tsunami."
"529","(05-02) 19:59 PDT SAN DIEGO (AP) --"
"530","øI spend most of my days on foot, so when I have a chance to actually drive, I jump at it. For the novelty factor, I guess. I did just that the other day while in Georgia on business. Instead of flying, I decided to drive from Atlanta to Savannah, then back the next morning. Eight hours in a car. A road trip. Fun."
"531","Victor Martinez"
"532","There is another, larger deficit. Our country is behind on funding Medicare, Medicaid and Social Security in excess of 50 trillion dollars. Divide that dollar amount by the approximately"
"533","Earnhardt Jr.'s winless drought is now 138 races. His last victory in the series came in June 2008 at Michigan, which was his first season with Hendrick."
"534","Thorsen joined the Army National Guard in Florida in 2001, then transferred to Guard units in Illinois and Colorado before joining the Army Reserve. He was deployed to Afghanistan in 2009 and is a member of an engineer company based in Des Moines. His unit falls under the 416th Theater Engineer Command out of Darien, Ill."
"535","Asked why the government hadn't moved to shut down Silk Road, Laura Sweeney, a spokeswoman for the Department of Justice, replied: ""The DEA takes the threat of illegal online drug markets very seriously. Although we don't confirm investigations against individuals or groups, the DEA aggressively pursues criminals using any means to sell illegal drugs."""
"536","“He’s one of the fastest baseball players I’ve ever coached…” Horton said. “What a great story he is, that he wanted to give baseball a try. Too bad he doesn’t have more years because I think he could be a really good baseball player.”"
"537","When it came to contractors — many of whom donated to his campaign — Dimora often gave them the inside track on bidding, helped them with loans and set up meetings between them and county employees, the indictment said."
"538","The Mouse Factory still has dibs on that pre-sold title, thanks to Mickey’s sequence from “Fantasia.” The lucrative children’s market is the only one in which the ambitious Bruckheimer hasn’t made real inroads. As for Cage — well, the man has bills to pay."
"539","Before its recent budget crisis, the county spent up to $700,000 to house homeless people from November through March at Cal Expo."
"540","Places scoring 20 or higher were awarded ratings of five, 10-19 were awarded four; 5-9 were awarded three; 2-4 were awarded two; and 0-1 received one."
"541","""That would definitely be one of them. And the Duke hit from my sophomore year. The N.C. State hit from my junior year. The interception against Clemson this year for a touchdown. And the Miami touchdown."""
"542","incorrectly interpret as a pitch, ""but they don't realize they are one of a thousand and nothing special,"" said John Elder, executive director of the Illinois Coaches Association. If you're interested in a school, you'll have to follow-up on your own."
"543","Mount the box 12 feet above ground on a 16-foot redwood 4-by-4."
"544","Francis Howell teachers, for example, will receive an average"
"545","""These victims have endured unimaginable horrors - including the genocide in Srebrenica - and redress for their suffering is long overdue. ... We believe that it can have a positive impact on reconciliation in the region."" - Serge Brammertz, chief prosecutor of the Yugoslav war crimes tribunal, in a statement."
"546","The viewers stand transfixed, leaning in again and again for a closer look as they inspect 32 panels of photographs that capture both the everyday and the celebratory moments in the lives of Howard County's early black families. Many pull out their cellphones and snap a shot of a relative or someone they know."
"547","Smatana, a Northeast Ohio native, was a wide receiver on the Miami Hurricanes 1983 National Championship team and even caught passes from Bernie Kosar while playing for the Canes."
"548","Now, he is embarked on another uphill fight in hopes of preventing future tragedies. The crux of that fight means getting signs posted restricting the road from use by big trucks."
"549","Few services are available for Slavic families. And shame in the community is a barrier to seeking help. Mariya, for instance, didn't want her or her family's real names used for fear of retaliation and stigma."
"550","Many of the businesses that the government marks as failures have simply been left behind because the people behind them have found other jobs. Or they've been put on a back burner while another idea is pursued."
"551","Brewer's campaign and gubernatorial staff bristled Tuesday at the suggestion that the governor has not made illegal immigration and border security a priority since taking office."
